arquivo;slug_local;titulo_local;curso_id_atual;confianca;id_crm_sugerido;id_crm_confirmado;candidato_1_nome;candidato_1_id_crm;candidato_1_slug;candidato_1_score;candidato_2_nome;candidato_2_id_crm;candidato_2_slug;candidato_2_score;candidato_3_nome;candidato_3_id_crm;candidato_3_slug;candidato_3_score
produtos\mba-psicologia-positiva-saude-mental-bem-estar-organizacoes.md;mba-psicologia-positiva-saude-mental-bem-estar-organizacoes;MBA em Psicologia Positiva, Saúde Mental e Gestão do Bem-Estar nas Organizações;;media - revisar;1097;1097;MBA em Desenvolvimento Humano, Psicologia Positiva e Bem-Estar nas Organizações;1097;desenvolvimento-humano-psicologia-positiva-e-bem-estar-nas-organizaces-mba-presencial;0.696;Inteligência Emocional e Psicologia Positiva Aplicada às Organizações;342;inteligencia-emocional-e-psicologia-positiva-aplicada-as-organizacoes-curso-presencial-de-curta-duracao;0.581;Psicoterapia Positiva: Da Depressão ao Bem-Estar;1161;psicoterapia-positiva-da-depressao-ao-bem-estar;0.567
produtos\mba-sistemas-energia-eletrica-geracao-transporte-comercializacao.md;mba-sistemas-energia-eletrica-geracao-transporte-comercializacao;Pós-Graduação em Sistemas de Energia Elétrica: Geração, Transporte e Comercialização;;alta;1204;1204;MBA em Sistemas de Energia Elétrica: Geração, Transporte e Comercialização;1204;mba-em-sistemas-de-energia-eletrica-geracao-transporte-e-comercializacao;0.911;MBA Energia Elétrica: Geração, Transmissão e Distribuição;1057;energia-eletrica-geracao-transmissao-e-distribuicao-mba-remoto;0.624;Pós-Graduação em Ciências e Legislação do Trabalho;48;ciencias-e-legislacao-do-trabalho-pos-graduacao-presencial;0.582
produtos\mba-sistemas-gestao-seguranca-alimentos.md;mba-sistemas-gestao-seguranca-alimentos;MBA em Sistemas de Gestão da Segurança dos Alimentos;;media - revisar;705;705;MBA Sistemas de Gestão da Segurança de Alimentos;705;sistemas-de-gestao-da-seguranca-dos-alimentos-mba-remoto;0.94;Engenharia de Sistemas de Gestão da Segurança dos Alimentos;428;engenharia-de-sistemas-de-gestao-da-seguranca-dos-alimentos-mba-presencial;0.883;MBA Gestão da Qualidade e Segurança do Paciente;801;gestao-da-qualidade-e-seguranca-do-paciente-mba-remoto;0.646
produtos\pos-aba-neurodivergencias-estrategias-avancadas-intervencao.md;pos-aba-neurodivergencias-estrategias-avancadas-intervencao;Pós-Graduação em ABA e Neurodivergências: Estratégias Avançadas de Intervenção;1467;baixa - buscar manualmente;1467;1467;Pós Graduação em Psicoterapias Comportamentais de Terceira Geração;530;psicoterapias-comportamentais-de-terceira-geracao-pos-graduacao-presencial;0.528;Formação em Personal Organizer: estratégias e práticas em organização de ambientes;1050;formacao-em-personal-organizer-estrategias-e-praticas-em-organizacao-de-ambientes-curso-presencial-de-curta-duracao;0.512;Pós-Graduação em Ciências e Legislação do Trabalho;48;ciencias-e-legislacao-do-trabalho-pos-graduacao-presencial;0.5
produtos\pos-assuntos-regulatorios-regularizacao-empresas-produtos.md;pos-assuntos-regulatorios-regularizacao-empresas-produtos;Pós-Graduação em Assuntos Regulatórios: Regularização de Empresas e Produtos;;alta;786;786;Assuntos Regulatórios - Regularização de empresas e produtos;786;assuntos-regulatorios-regularizacao-de-empresas-e-produtos-pos-graduacao-remota;0.853;Pós-Graduação em Assuntos Regulatórios;38;assuntos-regulatorios-pos-graduacao-presencial;0.667;Assuntos Regulatórios: O Pós-Registro de Medicamentos e a RDC N.73/16;393;assuntos-regulatorios-o-pos-registro-de-medicamentos-e-a-rdc-n-73-16-curso-presencial-de-curta-duracao;0.566
produtos\pos-avaliacao-psicologica-praticas-imersivas-avancadas.md;pos-avaliacao-psicologica-praticas-imersivas-avancadas;Pós-Graduação em Avaliação Psicológica: Práticas Imersivas Avançadas;1398;baixa - buscar manualmente;1398;1398;Avaliação Psicológica para Procedimentos Cirúrgicos- Nível Avançado;1086;curso-de-curta-duracao-em-avaliacao-psicologica-para-procedimentos-cirurgicos-nivel-avancado;0.593;Pós-Graduação em Master em Arquitetura: Práticas e Dinâmicas Projetuais;849;master-em-arquitetura-praticas-e-dinamicas-projetuais;0.576;Educação 5.0: Ferramentas, Metodologias e Práticas Avançadas;1052;educacao-50-ferramentas-metodologias-e-praticas-avancadas-mba-remoto;0.562
produtos\pos-avaliacao-psicologica.md;pos-avaliacao-psicologica;Pós-Graduação em Avaliação Psicológica;;media - revisar;45;45;Avaliação Psicológica;45;avaliacao-psicologica-pos-graduacao-presencial;0.712;Avaliação Psicológica;45;avaliacao-psicologica-pos-graduacao-remota;0.712;Pós-Graduação em Ciências e Legislação do Trabalho;48;ciencias-e-legislacao-do-trabalho-pos-graduacao-presencial;0.636
produtos\pos-avaliacoes-pericias-engenharia.md;pos-avaliacoes-pericias-engenharia;Pós-Graduação em Avaliações e Perícias de Engenharia;;media - revisar;112;112;Avaliações e Perícias de Engenharia;112;avaliaces-e-pericias-de-engenharia-pos-graduacao-remota;0.805;Auditoria, Avaliações e Perícias de Engenharia;112;auditoria-avaliacoes-e-pericias-de-engenharia-pos-graduacao-presencial;0.796;Pós-Graduação em Atenção Farmacêutica e Farmácia Clínica ;36;atencao-farmaceutica-e-farmacia-clinica-pos-graduacao-presencial;0.593
produtos\pos-comercio-exterior-internacionalizacao-empresas.md;pos-comercio-exterior-internacionalizacao-empresas;Pós-Graduação em Comércio Exterior e Internacionalização de Empresas;1376;baixa - buscar manualmente;1376;1376;Pós-Graduação em Ciências e Legislação do Trabalho;48;ciencias-e-legislacao-do-trabalho-pos-graduacao-presencial;0.593;Pós-Graduação em Master em Arquitetura: Práticas e Dinâmicas Projetuais;849;master-em-arquitetura-praticas-e-dinamicas-projetuais;0.532;Pós Graduação em Master BIM: Ferramentas de Gestão e Projeto;430;master-bim-ferramentas-de-gestao-e-projeto-pos-graduacao-presencial;0.531
produtos\pos-comportamento-alimentar-psiconutricao.md;pos-comportamento-alimentar-psiconutricao;Pós-Graduação em Comportamento Alimentar e Psiconutrição;;media - revisar;1349;1349;Comportamento Alimentar e Psiconutrição;1349;comportamento-alimentar-e-psiconutricao-ao-vivo;0.821;Pós-Graduação em Assuntos Regulatórios;38;assuntos-regulatorios-pos-graduacao-presencial;0.596;Pós Graduação em Psicoterapias Comportamentais de Terceira Geração;530;psicoterapias-comportamentais-de-terceira-geracao-pos-graduacao-presencial;0.59
